id;x;y;name;icon;priority;photo;desc
1;721;2048;Вертодром;icons/heliport.svg;10;;Вертодром
2;916;4958;Реми;icons/grocery.svg;10;;Реми
3;981;4736;Аптека;icons/pharmacy.svg;5;;Аптека
4;1520;9451;Счастье в горах;icons/hotel.svg;10;photos/hotel.jpg;Счастье в горах
5;1758;3118;Натуралист;icons/bar.svg;10;;Натуралист
6;981;4959;Point Coffee;icons/coffee.svg;7;;Point Coffee
7;2043;6695;Dream Coffee;icons/coffee.svg;8;;Dream Coffee
8;1816;3498;Рай-Ski-Домик;icons/hotel.svg;10;photos/hotel.jpg;Рай-Ski-Домик
9;2011;5699;Поляна 515;icons/hotel.svg;10;photos/hotel.jpg;Поляна 515
10;1291;8932;Парк Шале;icons/hotel.svg;10;photos/hotel.jpg;Парк Шале
11;1756;2507;Династия;icons/hotel.svg;10;photos/hotel.jpg;Династия
12;917;4733;Greek House;icons/hotel.svg;10;photos/hotel.jpg;Greek House
13;1300;5380;Булки в горах;icons/cafe.svg;10;photos/cafe.jpg;Булки в горах
14;1246;6100;Alba Inn Apartments;icons/hotel.svg;10;photos/hotel.jpg;Alba Inn Apartments
